"Profile","B2B","Code","Rcvd","Expires","Trade","Value","Interior","OV","Balcony","Suite","Name","Class","Ship","Sail Date","Departs","Nights","Destination","Category","Guests","Perks"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$660","$529","$585","$840","$1,144","Limitless Luck","Radiance","Jewel Of The Seas","06/12/26","Fort Lauderdale","3","Bahamas Getaway Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$890","$328","$503","$781","$2,676","Limitless Luck","Freedom","Freedom Of The Seas","06/13/26","Miami","5","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
"scott.merlis1","0","26BCP105","05/15/26","05/29/26","$0","$1,126","$699","$863","$997","-","Limitless Luck","Oasis","Wonder Of The Seas","06/15/26","Miami","4","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$892","$327","$665","$752","$1,625","Limitless Luck","Freedom","Freedom Of The Seas","06/18/26","Miami","4","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$1,691","$754","$859","$1,218","$1,928","Limitless Luck","Voyager","Adventure Of The Seas","06/20/26","Orlando (Port Canaveral)","6","Western Caribbean & Perfect Day","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$1,024","$368","$568","$947","$1,772","Limitless Luck","Freedom","Freedom Of The Seas","06/22/26","Miami","5","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$672","$542","$609","$801","$1,808","Limitless Luck","Radiance","Jewel Of The Seas","06/26/26","Fort Lauderdale","3","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$1,013","$695","$737","$1,019","$3,336","Limitless Luck","Freedom","Freedom Of The Seas","06/27/26","Miami","5","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$936","$611","$670","$981","$1,579","Limitless Luck","Freedom","Freedom Of The Seas","07/02/26","Miami","4","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$898","$595","$643","$934","$1,038","Limitless Luck","Radiance","Jewel Of The Seas","07/06/26","Fort Lauderdale","4","Bahamas Getaway Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","2","26BCP105","05/15/26","05/29/26","$0","$919","$334","$593","$672","$2,047","Limitless Luck","Freedom","Freedom Of The Seas","07/11/26","Miami","5","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
"scott.merlis1","2","26BCP105","05/15/26","05/29/26","$0","$1,125","$266","$660","$622","$1,169","Limitless Luck","Oasis","Wonder Of The Seas","07/13/26","Miami","4","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$756","$589","$725","$912","$1,501","Limitless Luck","Freedom","Freedom Of The Seas","07/16/26","Miami","4","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$586","$252","$252","$559","$894","Limitless Luck","Radiance","Jewel Of The Seas","07/17/26","Fort Lauderdale","3","Bahamas Getaway Cruise","Ocean View GTY","2 Guests","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$731","$540","$771","$840","$1,816","Limitless Luck","Oasis","Wonder Of The Seas","07/17/26","Miami","3","Bahamas & Perfect Day Cruise","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","0","26BCP105","05/15/26","05/29/26","$0","$1,624","$841","$898","$1,220","$2,654","Limitless Luck","Oasis","Allure Of The Seas","07/19/26","Fort Lauderdale","6","Western Caribbean & Perfect Day","Balcony GTY","1 Guest","Royal Beach Club"
"scott.merlis1","3","26BCP105","05/15/26","05/29/26","$0","$1,087","$295","$295","$688","$956","Limitless Luck","Radiance","Jewel Of The Seas","07/20/26","Fort Lauderdale","4","Bahamas Getaway Cruise","Ocean View GTY","2 Guests","Royal Beach Club"
"scott.merlis1","1","26BCP105","05/15/26","05/29/26","$0","$1,192","$266","$546","$632","$1,314","Limitless Luck","Oasis","Wonder Of The Seas","07/20/26","Miami","4","Bahamas & Perfect Day Cruise","Interior GTY","2 Guests","Royal Beach Club"
