Ship,Class,Estimated Ship Slot Count,Machine ID,Manufacturer,Machine Title,Variant,Family,Bank,Seat In Bank,Confidence,Status,AP Visibility Score,Source Basis,Whitelist Rule
Icon of the Seas,Icon,370,I-001,Aristocrat,Dragon Link,Golden Century,Link,DRA-01,1,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-002,Aristocrat,Dragon Link,Panda Magic,Link,DRA-01,1,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-003,Aristocrat,Dragon Link,Autumn Moon,Link,DRA-01,1,76,Fleet-staple modeled,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-004,Aristocrat,Dragon Link,Happy & Prosperous,Link,DRA-01,1,76,Fleet-staple modeled,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-005,Aristocrat,Dragon Link,Genghis Khan,Link,DRA-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-006,Aristocrat,Dragon Link,Spring Festival,Link,DRA-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-007,Aristocrat,Dragon Link,Golden Century,Link,DRA-01,2,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-008,Aristocrat,Dragon Link,Panda Magic,Link,DRA-01,2,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-009,Aristocrat,Dragon Link,Autumn Moon,Link,DRA-01,2,76,Fleet-staple modeled,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-010,Aristocrat,Dragon Link,Happy & Prosperous,Link,DRA-01,2,76,Fleet-staple modeled,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-011,Aristocrat,Dragon Link,Genghis Khan,Link,DRA-01,2,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-012,Aristocrat,Dragon Link,Spring Festival,Link,DRA-01,2,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-013,Konami,Phoenix Link,General Tso,Link,PHO-01,1,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-014,Konami,Phoenix Link,Queen Chiao,Link,PHO-01,1,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-015,Konami,Phoenix Link,Wisdom,Link,PHO-01,1,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-016,Konami,Phoenix Link,Sensei,Link,PHO-01,1,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-017,Konami,Phoenix Link,General Tso,Link,PHO-01,2,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-018,Konami,Phoenix Link,Queen Chiao,Link,PHO-01,2,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-019,Konami,Phoenix Link,Wisdom,Link,PHO-01,2,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-020,Konami,Phoenix Link,Sensei,Link,PHO-01,2,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-021,Aristocrat,Lightning Link,Sahara Gold,Link,LIG-01,1,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-022,Aristocrat,Lightning Link,Tiki Fire,Link,LIG-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-023,Aristocrat,Lightning Link,Heart Throb,Link,LIG-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-024,Aristocrat,Lightning Link,Magic Pearl,Link,LIG-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-025,Aristocrat,Lightning Link,Happy Lantern,Link,LIG-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-026,Aristocrat,Lightning Link,High Stakes,Link,LIG-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-027,Aristocrat,Lightning Link,Best Bet,Link,LIG-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-028,Aristocrat,Lightning Link,Sahara Gold,Link,LIG-01,2,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-029,Aristocrat,Lightning Link,Tiki Fire,Link,LIG-01,2,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-030,Aristocrat,Lightning Link,Heart Throb,Link,LIG-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-031,Aristocrat,Buffalo Ascension,Standard,Video Slot,BUF-01,1,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-032,Aristocrat,Buffalo Link,Super Buffalo,Link,BUF-01,1,62,Modeled from whitelist,9,User list / visual ID,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-033,Aristocrat,Buffalo Gold,Collection,Video Slot,BUF-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-034,Aristocrat,Buffalo Chief,Standard,Video Slot,BUF-01,1,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
